__v,_id,courier,courierCode,createdAt,inTransit,isArchived,isDelivered,isReturned,isShipped,method,otn,package,packaging.height,packaging.length,packaging.name,packaging.width,products,weight
0,621fb416f06300ec7eb460cf,DPD,5607120213959,2022-03-02T18:14:46.320Z,FALSE,FALSE,TRUE,FALSE,FALSE,dpd door to door,W74VYDT1646158816P1,604b483bc9c63300343d2699,2,40,Polymailer,30,"[{""$oid"":""621e63e1039e3a1502553d26""}]",0.318
0,6227700f4f3f6f5f92c1e36a,PUBLICCORREOS,PK6RYD0710073050133203D,2022-03-08T15:02:39.747Z,TRUE,FALSE,FALSE,FALSE,TRUE,paq premium domicilio,2NLXF2K1646745404P1,5f85c0ea9a74550035344f68,10,20,1 KG,20,"[{""$oid"":""6227573cf36abe16dbcee5ee""},{""$oid"":""6227573cf36abee46acee5ef""},{""$oid"":""6227573cf36abe5755cee5f0""}]",2.525
0,622a462e6a58840c63582b0c,PUBLICCORREOS,PK6RYD0710073060114650S,2022-03-10T18:40:46.355Z,FALSE,FALSE,TRUE,FALSE,FALSE,paq premium domicilio,2NLXCUW1646935133P1,5f85c0ea9a74550035344f68,10,20,1 KG,20,"[{""$oid"":""622a3c5d18a03a7127cbf75e""},{""$oid"":""622a3c5d18a03a40d7cbf75f""}]",0.82
0,623190b5940f179062df704b,PUBLICCORREOS,PQ6TJ70710026170128014V,2022-03-16T07:24:37.317Z,FALSE,FALSE,TRUE,FALSE,FALSE,nacional domicilio standard,LX66Y871647382808P1,60ba3e597f45170034236a81,10,20,Small Box,20,"[{""$oid"":""6231111832ec93e20f0f35f4""},{""$oid"":""6231111832ec9352c60f35f5""},{""$oid"":""6231111832ec93a8c00f35f6""}]",0.668
0,6233290bdd5cad64a7a649fb,DPD,5607120213951,2022-03-17T12:26:51.575Z,FALSE,FALSE,TRUE,FALSE,FALSE,dpd door to door,W74VNZ51647437422P1,604b483bc9c63300343d2699,2,40,Polymailer,30,"[{""$oid"":""6231e66fff4edd27b58bddf3""}]",0.318
0,6233290edd5cadd524a64a03,DPD,5607120213955,2022-03-17T12:26:54.728Z,FALSE,FALSE,TRUE,FALSE,FALSE,dpd door to door,W74V9TN1647364849P1,604b483bc9c63300343d2699,2,40,Polymailer,30,"[{""$oid"":""6230caf3a61d7b5e45d90e85""}]",0.318
0,623432c1bde2ae352e916ad9,DPD,5607120213947,2022-03-18T07:20:33.341Z,FALSE,FALSE,TRUE,FALSE,FALSE,dpd door to door,W74V6XH1647533420P1,604b483bc9c63300343d2699,2,40,Polymailer,30,"[{""$oid"":""62335d6ddfed2d5ec7b32707""},{""$oid"":""62335d6ddfed2d2c94b32708""}]",0.636
0,6235c7c1c51a5817502b5f97,PUBLICCORREOS,PK6RYD0710072440108019H,2022-03-19T12:08:33.744Z,FALSE,FALSE,TRUE,FALSE,FALSE,paq premium domicilio,2NLX8GR1647690435P1,5f85c0ea9a74550035344f68,10,20,1 KG,20,"[{""$oid"":""6235c2c3a92e2ec95b86b8aa""}]",0.668
0,623839988703658a0b5bdcdf,DPD,5607120213965,2022-03-21T08:38:48.031Z,FALSE,FALSE,TRUE,FALSE,FALSE,dpd door to door,W74VZBV1647706805P1,604b483bc9c63300343d2699,2,40,Polymailer,30,"[{""$oid"":""623602b578199a70e6d17911""},{""$oid"":""623602b578199a6849d17912""},{""$oid"":""623602b578199a4929d17913""},{""$oid"":""623602b578199a116ad17914""}]",1.272
0,6238399d870365e3445bdcf0,DPD,5607120213945,2022-03-21T08:38:53.563Z,FALSE,FALSE,TRUE,FALSE,FALSE,dpd door to door,W74VHTG1647678003P1,604b483bc9c63300343d2699,2,40,Polymailer,30,"[{""$oid"":""62359234d31e080a4746c189""}]",0.318
