_id,barcode,description,discountPrice,hsCode,name,originalId,packaged,picked,price,quantity,sku,variant,vat,weight
61f52a9cd75b588f02aa34ac,,,,,Paté de Alcachofas Bio Organica Italia 90 gr,,TRUE,FALSE,2.07,1,223476,,10,
621e63e1039e3a1502553d26,,Women's Cotton Dress,160,620442,Slate,11206081282204,TRUE,FALSE,160,1,SKD0218L,2X / Long,26.67,0.318
62212eaf0e7c8f4a9c8e7575,8445262013542,SNEAKERS,69,640399,MANCHESTER,10629109055534,TRUE,FALSE,69,1,22102602,44,11.98,0
622207de62e85a26b41938f5,,,,,Harina de Sangre Cultivers (1 kg),,TRUE,FALSE,9.97,1,257700,,10,
622207de62e85a3b4d1938f6,,,,,Sangre Seca 800 gr BioFlower,,TRUE,FALSE,9.95,1,258151,,21,
6223162e6b21403f367860f8,8445262019575,SNEAKERS,150,6403999800,KEOPS,10632636989486,TRUE,FALSE,150,1,12206003,38,23.95,0
622739f2dd8322d3896c9fd7,,,159.9,null,VALADARES 18650002 Inodoro Infantil,10857144320073,TRUE,FALSE,159.9,1,18650002+50308530,CELESTE,55.5,25
6227573cf36abe16dbcee5ee,38020801020102,,0,,Jarra de agua 1.5 Litros blanco decorada - Modelo 05,,TRUE,FALSE,16.95,1,38020801020102,,37.12,0.95
6227573cf36abe5755cee5f0,1070102010101,,0,,Jarra para agua Outlet - Amarillo,,TRUE,FALSE,5.98,1,1070102010101,Amarillo,4.66,0.575
6227573cf36abee46acee5ef,14020302010102,,0,,Ensaladera bol cerámica decorado amarillo - Modelo 04,,TRUE,FALSE,22.95,1,14020302010102,,68.1,1
622a313363257c973d4fbc2b,,,20,null,W0TS,11133783867526,TRUE,FALSE,20,1,kHCNnUPUP,,0,0.5
622a3c5d18a03a40d7cbf75f,22031111010103,,0,,Incensario peregrino camino Santiago de barro rojo pintado,,TRUE,FALSE,9.95,1,22031111010103,,56.74,0.41
622a3c5d18a03a7127cbf75e,22031111010103,,0,,Incensario peregrino camino Santiago de barro rojo pintado,,TRUE,FALSE,9.95,1,22031111010103,,56.74,0.41
622a4d60d6addd55a2f35e18,,,34,,BELT BAG,,TRUE,FALSE,40.8,1,804843_NNY_NBK_UNI,201,20,0.5
622a4d60d6addd5ad0f35e14,,,119,,AIR FORCE 1 ´07 LV8,,TRUE,FALSE,142.8,1,DC8873_101_9.5,189,20,0.5
622a4d60d6addd5da7f35e19,,,19,,U NK EVERYDAY CUSH CREW 6 PAIRS,,TRUE,FALSE,22.8,1,SX7666_010_M,187,20,0.5
622a4d60d6addd62ecf35e16,,,34,,MN VANS REFLECT PO,,TRUE,FALSE,40.8,1,VN0A54AOWHT1_L,189,20,0.5
622a4d60d6addd8280f35e1b,,,17,,U NK NSW EVRY ESSENTIAL ANKLE,,TRUE,FALSE,20.4,1,SK0110_010_M,187,20,0.5
622a4d60d6addd866af35e17,,,59,,LOCK UP CREW,,TRUE,FALSE,70.8,1,H41316_L,194,20,0.5
622a4d60d6adddb762f35e15,,,99,,M J JMPMN VEST,,TRUE,FALSE,118.8,1,DC9661_010_L,187,20,0.5
622a4d60d6adddd352f35e1a,,,12,,VALLEY GROVE EMBROIDERED SOCK WHITE,,TRUE,FALSE,14.4,1,DK0A4X82WHX1_43-46,189,20,0.5
622a728b1c03232ff9baee83,8434380996486,Chaqueta,69.99,null,Chaqueta entallada y acolchada rosa con parche logotipado,10901406580854,TRUE,FALSE,69.99,1,PC2120020142006-XL,XL,12.15,0
622a7d3e4027dea35c95d1a8,,,21.95,null,"""Lootus"" - for Ukraine",12033014956257,TRUE,FALSE,21.95,1,G8CuLv87H,,0,0
622ab798594bb708eb396ebf,,,21.95,null,Piece of Freedom Swallow Brooch,12033266909409,TRUE,FALSE,21.95,1,9F11AiVJoU,Bird looking left,0,0
